TreatmentGroup,Generations,AlleleDistrobution,PopulationSize,Number of alleles,RealNumberOfLoci,EstimatedNumberOfLoci,Fis,AverageShanPerIndi-1Hi,TotalShanOfPop-1Hs,Average1HiOver1Hs,AverageHighestAlleleCountPerIndividual,VarOfIndiSHAN,Number of Fixed loci,AverageRichPerIndi-0Hi,TotalRichOfPop-0Hs,VarOfIndiRICH,AverageHetPerIndi-2Hi,TotalHetOfPop-2Hs,VarOfIndiHET,EyePRime,Pee,Eye,Ell,Ohh,LOC OR AL,IndiEveness,PopEveness,Fis,Sis
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.013917092,1.497171917,2.144429873,0.698167814,1.9,0.05068112,ERROR with this fucntion atm,-3.75,10,0.7875,0.759722222,0.870034722,0.004380787,"[-0.16666666666666666, '10', '4.75', 3.0, '0.475']",,,,,10,0.650213502,0.931314061,-0.013917092,0.301832186
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.038125673,1.476898662,2.165972176,0.681864097,2,0.033799957,ERROR with this fucntion atm,-3.675,10,0.569375,0.754166667,0.873576389,0.002451775,"[-0.11666666666666654, '10', '4.675', 3.0, '0.46749999999999997']",,,,,10,0.641408939,0.940669764,-0.038125673,0.318135903
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.001839389,1.441476928,2.110345457,0.683052589,2.075,0.046895978,ERROR with this fucntion atm,-3.55,10,0.7475,0.743055556,0.855347222,0.003655478,"[-0.033333333333333215, '10', '4.55', 3.0, '0.45499999999999996']",,,,,10,0.626025476,0.916511387,-0.001839389,0.316947411
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.009686135,1.529649076,2.19844123,0.695788022,1.825,0.033597584,ERROR with this fucntion atm,-3.875,10,0.609375,0.769444444,0.878506944,0.002091049,"[-0.25, '10', '4.875', 3.0, '0.4875']",,,,,10,0.664318153,0.954770895,-0.009686135,0.304211978
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.076743921,1.226227797,1.702944985,0.720063072,2.525,0.079228097,ERROR with this fucntion atm,-2.775,8,0.974375,0.675,0.782361111,0.009344136,"[0.4833333333333334, '8', '3.775', 3.0, '0.471875']",,,,,8,0.58969092,0.818943428,0.076743921,0.279936928
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.031061395,1.473954086,2.134157615,0.690649124,1.925,0.095174507,ERROR with this fucntion atm,-3.725,10,1.399375,0.747222222,0.863958333,0.008325617,"[-0.14999999999999977, '10', '4.725', 3.0, '0.4725']",,,,,10,0.640130126,0.926852876,0.031061395,0.309350876
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,0.134824866,1.336089025,2.125326717,0.628651122,2.15,0.087657801,ERROR with this fucntion atm,-3.15,10,1.2275,0.711111111,0.863680556,0.008981481,"[0.2333333333333331, '10', '4.15', 3.0, '0.41500000000000004']",,,,,10,0.580256091,0.923017665,0.134824866,0.371348878
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.027680021,1.398211692,2.169387981,0.644518963,2.075,0.088965538,ERROR with this fucntion atm,-3.4,10,1.19,0.727777778,0.874965278,0.009382716,"[0.06666666666666643, '10', '4.4', 3.0, '0.44000000000000006']",,,,,10,0.607235622,0.942153229,-0.027680021,0.355481037
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.059497397,1.381647387,1.847694044,0.747768491,1.925,0.049346528,ERROR with this fucntion atm,-3.225,10,0.924375,0.734722222,0.804409722,0.002853009,"[0.18333333333333357, '10', '4.225', 3.0, '0.4225']",,,,,10,0.600041836,0.802443328,-0.059497397,0.252231509
MS 3 Loci,10,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",40,10,3,3,-0.022390581,1.357013731,2.164137491,0.627045988,2.25,0.07581011,ERROR with this fucntion atm,-3.25,10,0.9875,0.715277778,0.876909722,0.008362269,"[0.16666666666666666, '10', '4.25', 3.0, '0.425']",,,,,10,0.589343575,0.93987297,-0.022390581,0.372954012
